CODE;NOM;X;Y;GOUV;CAP;AGG;NIV;DTUN;DPORT;DCAP;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS3130;Tataouine Nord  ;328,6749;313,2665;TS313;1;Tataouine;(4) 50 à 100 000;464,8;91,3;1,0;54362;37122;11859;3444;4944;57651;2325;0,234
TS3131;Tataouine Sud ;277,3724;323,3044;TS313;0;Tataouine;(4) 50 à 100 000;451,5;111,8;53,3;33783;22224;7797;1861;1953;34129;2450;0,190
TS3132;Smâr ;355,9384;319,0811;TS313;0;;(1) moins de 10 000;463,0;80,9;28,9;13826;0;2948;546;613;13930;2004;0,122
TS3133;Bir Lahmar ;306,6959;366,4703;TS313;0;;(1) moins de 10 000;409,6;62,4;58,6;9270;8418;2687;814;513;8999;200;0,192
TS3134;Ghomrassen ;286,1677;354,2425;TS313;0;;(2) 10 à 20 000;420,8;86,3;60,0;18335;11383;6027;917;1569;16779;666;0,167
TS3135;Dhehiba ;313,3899;224,9011;TS313;0;;(1) moins de 10 000;551,3;180,5;90,7;3971;3971;998;296;425;4069;3864;0,109
TS3136;Remada ;230,8395;204,3571;TS313;0;;(1) moins de 10 000;572,1;233,3;147,4;9977;4606;2261;595;911;10150;27380;0,208
TS3210;Gafsa Nord  ;156,8436;519,2641;TS321;1;Gafsa;(5) 100 000 à 1 000 000;281,4;141,2;1,0;9407;0;2258;622;8061;10016;500;0,132
TS3211;Sidi Aïch ;144,5906;532,6434;TS321;0;;(1) moins de 10 000;274,9;158,9;19,1;8297;0;2106;440;758;8381;702,1;0,146
TS3212;El Ksar ;145,1504;498,2478;TS321;0;Gafsa;(5) 100 000 à 1 000 000;305,4;141,1;25,1;32186;29617;7128;1822;958;35203;332,8;0,250
TS3213;Gafsa Sud ;128,9144;509,9655;TS321;0;Gafsa;(5) 100 000 à 1 000 000;302,3;160,8;30,4;90742;84676;21539;6553;1412;103697;426,1;0,369
TS3214;Oum El Araies ;102,5781;520,6588;TS321;0;;(3) 20 à 50000;306,9;189,1;55,3;31733;24487;7298;617;2179;31206;995,7;0,143
TS3215;Redeyef ;85,2493;500,1951;TS321;0;;(3) 20 à 50000;333,6;197,8;75,1;27940;26143;5913;703;1924;27174;480,7;0,194
